Titre souhaité,Catégorie,Détails,Image,Image de fond,Téléphone Hôte,Mail Hôte,SMS Hôte,logo,Téléphone,photo 2,photo 3,photo 4,photo 5,photo 6,Partagez la localisation google maps,Site Web / ou wifi
Support,Accueil,Ajoutez les informations importantes pour vos voyageurs !,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uUwrtP1ipfxaVsZAfhPx/pub/V0f1dgOu7FRUokjZrxfA.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uUwrtP1ipfxaVsZAfhPx/pub/jkEjsCXMK1hYoW16LUth.jpg,0682506631,kro35410@hotmail.com,0682506631,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uUwrtP1ipfxaVsZAfhPx/pub/luuIF7xKghh267mvs5nd.jpg,,,,,,,,
Ti Kaza Zen ,Accueil,"Bienvenue à kazazen. 
La maison est située dans les hauteurs de Sainte-Anne. 
Vous êtes à 5 minutes en voiture des plus belles plages de Sainte-Anne. 

Vous avez à disposition dans la maison la terrasse, le salon avec la télé et la Nintendo pour les adeptes de jeux, la cuisine avec tout l'électroménager, vous avez accès à la salle de bain ainsi qu'au deux chambres du bas.

Dans les chambres vous avez à disposition des ventilateurs. 
Et les armoires pour pouvoir ranger vos affaires si vous le souhaitez. 

Je mets à disposition si vous souhaitez les deux planches de surf la orange et la blanche ainsi que le body. 
Vous avez aussi à disposition les jeux de plage ballon raquette ainsi que les masques et tubas.
A disposition aussi dans le meuble du salon des jeux de société et des jeux créatifs pour vos enfants. 

À disposition aussi sur la terrasse un hamac que vous pouvez accrocher sur les accroches rouges. 

Au-dessus de l'armoire de la cuisine vous avez un petit arrosoir si vous sentez que les plantes ont chaud elles se feront un plaisir d'être arrosées 😅

Dans la maison habite notre petit chat destin.
Vous n'avez pas besoin de lui donner à manger tous les jours il a sa gamelle électronique. 
Peut-être la remplir si vous voyez qu'elle est vide les croquettes sont en bas de l'évier de la cuisine. 
C'est un chat qui a l'habitude des enfants et qui adore les câlins il est assez pot de colle 😉. 

Pour les poubelles vous avez la poubelle grise pour les déchets ménager. 
Attention ne pas mettre de déchets viandes poissons ça attirent les asticots, mettre ces déchets dans un sac plastique bien fermé. 
Vous avez l'autre poubelle pour le plastique et le verre. 
Pour vider les poubelles il y a de grandes poubelles dans la descente à l'entrée du chemin. 
Peu importe la poubelle vous pouvez mettre dans n'importe laquelle ( les poubelles grise.
Pour le verre il faut aller le déposer dans les containers qui se situe en face à côté d'un arrêt de bus du club Med.
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/GOpicSXVAPA5FELR6Mue.jpg,,,,,,0682506631,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/MUKmww5byvaqH3n7quo6.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/9l1jYwhV432ISf1BozRf.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/cCnqz6ZNBDWaxTnspUxh.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/4m59V4E8K6CEyhagkGMK.jpg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/PDF9aiXR87AmJTdFTNLC.jpg,,
Plage du Bourg de Saint-Anne,PLAGE ,"La Plage de Sainte-Anne est l'une des plages les plus populaires de la Guadeloupe. Située sur la commune de Sainte-Anne, elle est réputée pour son sable blanc et ses eaux turquoise cristallines. Cette plage est idéale pour la baignade, le snorkeling et les activités nautiques.

À proximité, vous trouverez des restaurants et des boutiques où il est possible de déguster des spécialités locales et d'acheter des souvenirs. La plage est aussi un endroit prisé pour les familles grâce à ses infrastructures et son ambiance conviviale.

Si vous avez des questions spécifiques sur la plage, les activités ou les lieux à visiter aux alentours, n'hésitez pas à demander !",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/Qrd49KXoxPXBMTSUrjgC.jpg,,,,,,,,,,,,https://maps.app.goo.gl/16zAVYw4WgqYDz5u9?g_st=com.google.maps.preview.copy,
Plage de la caravelle ,PLAGE ,"La Plage de la Caravelle, située à Sainte-Anne en Guadeloupe, est réputée pour sa beauté naturelle et ses eaux cristallines. C'est une plage très appréciée des visiteurs pour plusieurs raisons :

Environnement : La plage est entourée de palmiers et de végétation tropicale, offrant une ambiance relaxante et paradisiaque.

Activités : On y trouve souvent des activités nautiques, comme le snorkeling, la plongée et le paddle. Les eaux calmes en font un endroit idéal pour la baignade, surtout pour les familles.

Accès : La plage est facilement accessible et dispose de commodités telles que des restaurants, des bars et des espaces pour se reposer.

Ambiance : La plage est souvent animée, surtout en haute saison, mais il est possible de trouver des coins plus tranquilles pour se détendre.

C'est une destination prisée non seulement pour sa beauté, mais aussi pour l'atmosphère conviviale qui y règne. Si vous prévoyez de visiter, n'oubliez pas votre crème solaire et de profiter du cadre exceptionnel !",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/UwBINHA5IhFbQsYAA34b.jpg,,,,,,,,,,,,,
Plage de bois jolan ,PLAGE ,"La Plage de Bois Jolan, située près de Sainte-Anne en Guadeloupe,
 Voici quelques points d'intérêt concernant cette plage :

Beauté naturelle : Bois Jolan est connue pour son sable fin et doré, ainsi que pour ses eaux turquoise et calmes. La végétation environnante, avec de nombreux cocotiers, ajoute à son charme.

Ambiance paisible : Cette plage est souvent moins fréquentée que d'autres plages populaires, ce qui en fait un endroit idéal pour se détendre, pique-niquer ou profiter d'un moment de tranquillité.

Activités : Les visiteurs peuvent pratiquer des activités nautiques comme le kayak ou le paddle. Les conditions de baignade sont généralement excellentes, ce qui en fait un lieu parfait pour les familles.

Accès et commodités : La plage est accessible en voiture et dispose de quelques commodités à proximité, y compris des restaurants et des espaces ombragés.

Écologie : La zone est également appréciée pour sa biodiversité marine, et il est courant de voir des poissons colorés près de la côte.

La Plage de Bois Jolan est un excellent choix si vous recherchez une expérience relaxante dans un cadre naturel exceptionnel en Guadeloupe.",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/7FSUjla82kf7v0KrG9XL.jpg,,,,,,,,,,,,,
Plage de petit havre ,PLAGE ,"La Plage de Petit Havre, située sur la côte sud de la Guadeloupe près de Sainte-Anne, est un lieu prisé pour son ambiance tranquille et ses paysages pittoresques. Voici quelques caractéristiques de cette plage :

Sable et eaux claires : La plage est connue pour son sable doré et ses eaux limpides, parfaites pour la baignade. Les vagues y sont généralement douces, ce qui en fait un endroit agréable pour se baigner.

Cadre naturel : Entourée de palmiers et de végétation tropicale, Petit Havre offre un cadre naturel idyllique. C’est un endroit idéal pour se détendre et profiter du soleil.

Moins fréquentée : Comparée à d'autres plages plus populaires, Petit Havre attire moins de monde, ce qui permet de profiter d'une atmosphère plus paisible.

Activités nautiques : Certaines personnes choisissent de faire du snorkeling pour explorer la vie marine, tandis que d'autres peuvent profiter de la baignade ou simplement se détendre sur le sable.

Commodités : Bien qu'il y ait quelques infrastructures de base, il est conseillé d'apporter des provisions, car les commodités peuvent être limitées.

La Plage de Petit Havre est un excellent choix pour ceux qui recherchent un endroit tranquille pour se relaxer et profiter de la beauté naturelle de la Guadeloupe.",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/Jiz4FPCmkNcJZPEtLwpH.jpg,,,,,,,,,,,,,
La douche ,Plage de saint François ,"Envie d’une douche salée ? Rendez-vous dans ce lieu où de petits bassins vous accueillent. Installez-vous sur la plus petite située le plus à l’Est et, attendez que le reflux des vagues viennent vous éclabousser. Sensations et amusements assurés pour vos enfants.",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/HT5xaClr3c1tNWfpQQsj.jpg,,,,,,,,,,,,,
Plages des salines ,Plage de saint François ,Les Salines constituent un écosystème unique entre mer et marais. Une large bande de sable permet aux vacanciers de profiter pleinement de cet endroit protégé par un récif corallien. En fin de matinée les couleurs y sont étincelantes. Profitez du point de vue depuis la croix de la pointe des châteaux pour prendre quelques photos de ce lieu exceptionnel.,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/THf4yHCsYpIx2FpTDukc.jpg,,,,,,,,,,,,,
Plage des raisins clair ,Plage de saint François ,"Splendide plage de Saint-François, elle permet de profiter toute l’année d’un superbe lagon avec une eau translucide.

 Elle est reconnaissable de loin grâce à ses arbres à fruits qui ressemblent à des raisins. D’où lui vient le nom de la Plage des Raisins clairs. Située à deux pas du centre de Saint-François, elle permet à ceux qui n’ont pas loué de voiture de profiter d’une belle plage.

 Le lagon est délimité par une barrière de corail ce qui rend la baignade idéale pour les petits comme pour les grands ! De cette plage, vous aurez peut-être la chance d’apercevoir les Saintes et Marie-Galante…",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/URpkNtfrzN6sed1e31K6.jpg,,,,,,,,,,,,,
Plage anse Bertrand la chapelle ,Plages du nord grande terre,"
Magnifique langue de sable blond protégée par la barrière de corail, elle est propice à la baignade et à quelques moments de repos à l’ombre des cocotiers et des raisiniers bord de mer.  Elle doit son nom à l'ancienne chapelle qui y était autrefois implantée. De là, départ du sentier de la Pointe Plate. Elle offre aussi un intérêt archéologique puisque des fouilles ont révélé la présence de tombes parmi les plus anciennes de Guadeloupe. La plage de la chapelle est l'un des sites de Guadeloupe préférés des passionnés de glisse. Des compétitions de surf y sont régulièrement organisées. Ce spot de reef fonctionne sous l’influence de houles de Nord ou d’Ouest (très rare). Il comprend deux vagues une droite/gauche sur la droite, accessible à tous (nombreux cours de surf). Et une gauche à fleur de corail, souvent tubulaire, réservée aux surfeurs confirmés. L’entrée et la sortie se font très facilement par le récif ou par une crique de sable située sur la droite. Attention, les courants sur la gauche/droite peuvent y être très forts. Douches, parking, restaurants, snacks et tables de pique-nique, idéal pour une journée en famille.",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/4ZSVYDu4E7qeM7sg06nu/pub/22NB3qtzRB7k3q0gHF0o.jpg,,,,,,,,,,,,,
